alarm code Id,alarm code number,alarm warning message,alarm condition,alarm colour,alarm code standard recovery action,alarm code type,alarm code station type
1,1,Stop Pushbutton Pressed,HMI/Line control PLC Request to Stop Station,RED,Stop filling system,,FS01
2,2,Air Pressure Low PS1035,Air Pressure switch PRS1035 indicating a Low Inlet Air Pressure,RED,"Stop filling system, de-energise air dump valve",,FS01
3,3,Dump Valve Fault PS1045,"Pressure switch PRS1045 downstream of the Dump valve is indicating one of the following alarm conditions: -
• Dump Valve is Energised but PRS1045 Indicating No Pressure
• Dump Valve is De-Energised but PRS1045 Indicating Pressure is Still Present""",RED,"Stop filling system, de-energise air dump valve",,FS01
4,4,Guard 1 Main Rear Door SW1445,Guard 1 is Open,RED,"Stop filling system, de-energise air dump valve",,FS01
5,5,Guard 2 Lower Rear Door SW1465,Guard 2 is Open,RED,"Stop filling system, de-energise air dump valve",,FS01
6,6,Guard 3 Counting Unit In Place SW1485,Guard 3 is Open,RED,"Stop filling system, de-energise air dump valve",,FS01
7,7,Guard 4 Desiccant Process Bottle Locking Guard SW1505,Guard 4 is Open,RED,"Stop filling system, de-energise air dump valve",,FS01
8,8,Guard 5 Bottle Trap Door SW1520,Guard 5 is Open,RED,"Stop filling system, de-energise air dump valve",,FS01
9,9,E Stop E1 Front PB1540,Emergency Stop 1 Pressed,RED,"Stop filling system, de-energise air dump valve",,FS01
10,10,E Stop E2 Back PB1560,Emergency Stop 2 Pressed,RED,"Stop filling system, de-energise air dump valve",,FS01
11,11,Bottle Trap Door Extend Jam SW855,"Output ""Q_BottleTrapDoorExtendCylinder_SOL1145"" is On but the Input reed switch ""I_BottleTrapDoorCylinderExtended_SW855"" is OFF, a ""Fail to Extend"" alarm is generated after a time delay",RED,Stop filling system,,FS01
12,12,Bottle Trap Door Retract Jam SW865,"Output ""Q_BottleTrapDoorRetractCylinder_SOL1155"" is On but the Input reed switch ""I_BottleTrapDoorCylinderRetracted_SW865"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
13,13,Disc Retract Cylinder Extend Jam SW960,"Output ""Q_DiscRetractCylinderExtend_SOL1205"" is On but the Input reed switch ""I_DiscRetractCylinderExtended_SW960"" is OFF, a ""Fail to Extend"" alarm is generated after a time delay",RED,Stop filling system,,FS01
14,14,Disc Retract Cylinder Retract Jam SW970,"Output ""Q_DiscRetractCylinderRetract_SOL1215"" is On but the Input reed switch ""I_DiscRetractCylinderRetracted_SW970"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
15,15,Bottle Twist Gripper Cylinder Extend 150cc Jam LS895,"Output ""Q_BottleTwistGripperExtendCylinder_SOL1185"" is On but the Input reed switch ""I_BottleTwistGripperOpen_LS895"" is OFF, a ""Fail to Extend"" alarm is generated after a time delay",RED,Stop filling system,,FS01
16,16,Bottle Twist Gripper Cylinder Retract 60cc Jam LS915,"Output ""Q_BottleTwistGripperRetractCylinder_SOL1195"" is On but the Input reed switch ""I_BottleTwistGripperClosed60cc_LS915"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
17,17,Bottle Twist Gripper Cylinder Retract Jam LS905,"Output ""Q_BottleTwistGripperRetractCylinder_SOL1195"" is On but the Input reed switch ""I_BottleTwistGripperClosed150cc_LS905"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
18,18,Bottle Transfer Gripper Cylinder Extend Jam SW920,"Output ""Q_BottleTransferGripperExtendCylinder_SOL1165"" is On but the Input reed switch ""I_BottleTransferGripperOpen_SW920"" is OFF, a ""Fail to Extend"" alarm is generated after a time delay",RED,Stop filling system,,FS01
19,19,Bottle Transfer Gripper Cylinder Retract 60cc Jam SW930,"Output ""Q_BottleTransferGripperRetractCylinder_SOL1175"" is On but the Input reed switch ""I_BottleTransferGripperClosed60cc_SW930"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
20,20,Bottle Transfer Gripper Cylinder Retract 150cc Jam SW940,"Output ""Q_BottleTransferGripperRetractCylinder_SOL1175"" is On but the Input reed switch ""I_BottleTransferGripperClosed150cc_SW940"" is OFF, a ""Fail to Retract"" alarm is generated after a time delay",RED,Stop filling system,,FS01
26,26,No Bottle Present At Conveyor PE845,"""I_BottlePresentAtConveyor_PE845"" is OFF and does not correspond to the expected shift register positioning, a ""Bottle Not In Position On Conveyor"" alarm is generated after a time delay",RED,Stop filling system,,FS01
27,27,2D Matrix Scanner Fault,Scanner Reporting a General Error & cannot Scan,RED,Stop filling system,,FS01
28,28,2D Matrix Scanner Read Error,Scanner reporting an inspection alarm because it was unable to read a printed code. Bottle returned to conveyor belt and shift register is updated.,WHITE,Record to SCADA Bottle for Rejection,,FS01
29,29,No Bottle Present at Fill Position PE885,"AT Process 2 (Move Bottle to Fill position), if ""I_BottlePresentAtFillPosition_PE885"" is OFF, a ""No Bottle Present at Fill"" alarm is generated.",RED,Stop filling system,,FS01
30,30,"Vacuum Error, Disc Not Removed at Desiccant Filling PRS980","""I_DiscPresentVac_PRS980"" is OFF (Vacuum not established) for a time delay when ""Q_DiscVacuum_SOL1370"" is energised or ""I_DiscRetractCylinderExtended_SW960"" is on. Twist & Lift Axis Generates a ""Vacuum Error"" alarm. Bottle returned to conveyor belt and shift register is updated.",RED,Stop filling system,,FS01
31,31,Bottle Disc Location Error PE950,"""I_DiscDogsEngagedForkSens_PE950"" is OFF after a Twist Movement is complete, Twist & Lift Axis Generates a ""Disc Location Error"" alarm.  Bottle returned to conveyor belt and shift register is updated.",RED,Stop filling system,,FS01
35,35,Large And Small Door Seal Inflated Error PRS990,"""I_Large&SmallDoorSealInflated_PRS990"" is OFF generating a ""Door Seal Inflated Error"" alarm",RED,Stop filling system,,FS01
36,36,Iris Valve Pulses Sensor Fault PS1025,"If either ""Q_IrisValveOpen_K625_P1"" or ""Q_IrisValveClosed_K625_P2"" is ON and ""I_IrisValvePulses_PS1025"" remains OFF, a ""Pulse Sensor Error"" alarm is generated after a time delay",RED,Stop filling system,,FS01
37,37,Iris Valve Open Sensor Fault PS1005,"Output ""Q_IrisValveOpen_K625_P1"" is On but the switch Input ""I_IrisValveOpen_PS1005"" is OFF or Input ""I_IrisValveClosed_PS1015"" is ON, a ""Fail to Open"" alarm is generated after a time delay",RED,Stop filling system,,FS01
38,38,Iris Valve Close Sensor Fault PS1015,"Output ""Q_IrisValveClosed_K625_P2"" is On but the switch Input ""I_IrisValveClosed_PS1015"" is OFF or Input ""I_IrisValveOpen_PS1005"" is ON, a ""Fail to Close"" alarm is generated after a time delay",RED,Stop filling system,,FS01
